code,name,security_id,industry,sector_index
MOGSEC,MOGSEC,,Nifty 5 yr Benchmark G-Sec Index,
LOWVOL1,LOWVOL1,,Kotak Nifty 100 Low Vol 30 ETF,
MASPTOP50,MASPTOP50,,S&P 500 Top 50 Total Return Index,
ECAPINSURE,ECAPINSURE,,BSE Capital Markets & Insurance Total Return Index,
GOLDIETF,GOLDIETF,,Gold,
INFRAIETF,INFRAIETF,,ICICI Prudential Nifty Infrastructure ETF,
QGOLDHALF,QGOLDHALF,,Gold,
MIDQ50ADD,MIDQ50ADD,,Nifty Midcap 150 Quality 50 Index,
IVZINGOLD,IVZINGOLD,,Gold,
GOLDCASE,GOLDCASE,,Zerodha Gold ETF,
SILVER360,SILVER360,,Commodity-Silver,
GOLD360,GOLD360,,Commodity-Gold,
HDFCGOLD,HDFCGOLD,,Gold,
AXISGOLD,AXISGOLD,,Gold,
UNIONGOLD,UNIONGOLD,,Commodity Gold,
SETFGOLD,SETFGOLD,,Gold,
IVZINNIFTY,IVZINNIFTY,,Nifty 50,
ICICIB22,ICICIB22,,S&P BSE BHARAT 22 index,
NIF100BEES,NIF100BEES,,Nifty 100 TRI,
GOLDETF,GOLDETF,,Mirae Asset Gold ETF,
TATAGOLD,TATAGOLD,,Tata Gold Exchange Traded Fund,
GOLD1,GOLD1,,Gold,
GROWWN200,GROWWN200,,Nifty 200 Index- Total Return Index,
GSEC10ABSL,GSEC10ABSL,,CRISIL 10 Year Gilt ETF,
MOINFRA,MOINFRA,,BSE India Infrastructure Total Return Index,
BBNPPGOLD,BBNPPGOLD,,Baroda BNP Paribas Gold ETF,
GROWWSLVR,GROWWSLVR,,Commodity-Silver,
GOLDSHARE,GOLDSHARE,,Gold,
BSLGOLDETF,BSLGOLDETF,,Gold,
GROWWGOLD,GROWWGOLD,,Commodity,
IDFNIFTYET,IDFNIFTYET,,Nifty 50,
INFRABEES,INFRABEES,,Nifty Infra,
GOLDBEES,GOLDBEES,,Gold,
AONENIFTY,AONENIFTY,,Nifty 50 Index,
GOLDETFADD,GOLDETFADD,,DSP Gold ETF,
LICNETFN50,LICNETFN50,,Nifty 50,
MNC,MNC,,Kotak Nifty MNC ETF,
SNXT30BEES,SNXT30BEES,,BSE Sensex Next 30 Index,
MID150CASE,MID150CASE,,Zerodha Nifty Midcap 150 ETF,
MID150,MID150,,Nifty Midcap 150 Index,
EGOLD,EGOLD,,Edelweiss Gold ETF,
AXISCETF,AXISCETF,,NIFTY India Consumption Index,
LICMFGOLD,LICMFGOLD,,Gold,
SILVERCASE,SILVERCASE,,Commodity-Silver,
CONS,CONS,,Kotak Nifty India Consumption ETF,
LICNFNHGP,LICNFNHGP,,Nifty 100,
TOP15IETF,TOP15IETF,,Nifty Top 15 Equal Weight Index,
NETF,NETF,,Tata Nifty 50 Exchange Traded Fund,
NIF5GETF,NIF5GETF,,UTI Nifty 5 yr Benchmark G-Sec ETF,
TOP10ADD,TOP10ADD,,Nifty Top 10 Equal Weight Index,
MIDSMALL,MIDSMALL,,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,
TOP100CASE,TOP100CASE,,Zerodha Nifty 100 ETF,
SILVERIETF,SILVERIETF,,Domestic Price of Silver,
HDFCSILVER,HDFCSILVER,,HDFC Silver ETF,
AXISILVER,AXISILVER,,Axis Silver ETF,
SILVERETF,SILVERETF,,UTI Silver Exchange Traded Fund (UTI Silver ETF),
SILVERADD,SILVERADD,,DSP Silver ETF,
MOMGF,MOMGF,,Nifty India Manufacturing Total Return Index,
HDFCSENSEX,HDFCSENSEX,,SENSEX,
SILVERBEES,SILVERBEES,,Domestic price of Silver- based on LBMA Silver daily spot fixing price,
NIFTY100EW,NIFTY100EW,,Nifty 100 Equal Weight Index,
AXSENSEX,AXSENSEX,,AXIS S&P BSE SENSEX ETF,
NEXT50,NEXT50,,Nifty Next 50,
