Company Name,Industry,Symbol
Abbott India Ltd.,Healthcare,ABBOTINDIA
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM
Alkem Laboratories Ltd.,Healthcare,ALKEM
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA
Biocon Ltd.,Healthcare,BIOCON
Cipla Ltd.,Healthcare,CIPLA
Divi's Laboratories Ltd.,Healthcare,DIVISLAB
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY
Gland Pharma Ltd.,Healthcare,GLAND
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK
Granules India Ltd.,Healthcare,GRANULES
Ipca Laboratories Ltd.,Healthcare,IPCALAB
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM
Laurus Labs Ltd.,Healthcare,LAURUSLABS
Lupin Ltd.,Healthcare,LUPIN
Mankind Pharma Ltd.,Healthcare,MANKIND
NATCO Pharma Ltd.,Healthcare,NATCOPHARM
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE
