Symbol,Company Name,Sector Index
ABB,ABB India Limited,
AEGISLOG,Aegis Logistics Ltd.,NIFTY ENERGY
ARE&M,Amara Raja Energy & Mobility Limited,NIFTY AUTO
AMBALALSA,Ambalal Sarabhai Enterprise Ltd.,NIFTY PHARMA
ANDHRAPET,Andhra Petrochemicals Ltd.,NIFTY CHEMICALS
ANSALAPI,Ansal Properties & Infrastructure Ltd.,NIFTY REALTY
UTIQUE,UTIQUE ENTERPRISES LIMITED,NIFTY METAL
ARUNAHTEL,Aruna Hotels Ltd.,NIFTY SERVICES
BOMDYEING,Bombay Dyeing & Mfg. Co. Ltd.,
ASIANHOTNR,Asian Hotels (North) Limited,NIFTY SERVICES
ATUL,Atul Limited.,NIFTY CHEMICALS
ATVPR,ATV Projects India Ltd,
BAJAJELEC,Bajaj Electricals Ltd.,NIFTY CONSUMER DURABLES
BAJAJHIND,Bajaj Hindusthan Sugar Limited,NIFTY FMCG
FORCEMOT,Force Motors Limited,NIFTY AUTO
BAJFINANCE,Bajaj Finance Limited,NIFTY FINANCIAL SERVICES
BALRAMCHIN,Balrampur Chini Mills Ltd.,NIFTY FMCG
BANCOINDIA,Banco Products (India) Ltd.,NIFTY AUTO
ABREL,ADITYA BIRLA REAL ESTATE LIMITED,
BANARISUG,Bannari Amman Sugars Ltd.,NIFTY FMCG
BASF,BASF India Ltd,NIFTY CHEMICALS
BATAINDIA,Bata India Limited,NIFTY CONSUMER DURABLES
BEML,BEML Ltd,
BEL,Bharat Electronics Ltd.,
BEPL,Bhansali Engineering Polymers Ltd.,NIFTY CHEMICALS
BIHSPONG,Bihar Sponge Iron Ltd,NIFTY METAL
BILVYAPAR,BIL VYAPAR LIMITED,NIFTY FINANCIAL SERVICES
BIRLACABLE,Birla Cable Limited,NIFTY TELECOM
BLUESTARCO,Blue Star Ltd,NIFTY CONSUMER DURABLES
DISAQ,Disa India Ltd.,
QUESTCAP,QUEST CAPITAL MARKETS LIMITED,NIFTY FINANCIAL SERVICES
BPL,BPL Ltd.,NIFTY CONSUMER DURABLES
OAL,ORIENTAL AROMATICS LIMITED,NIFTY CHEMICALS
CENTEXT,Century Extrusions Ltd.,
CESC,CESC Limited,
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,NIFTY CHEMICALS
EXIDEIND,Exide Industries Ltd.,NIFTY AUTO
CIPLA,Cipla Ltd.,NIFTY PHARMA
DICIND,DIC India Ltd,NIFTY CHEMICALS
CRISIL,CRISIL Ltd.,NIFTY FINANCIAL SERVICES
CGPOWER,CG Power and Industrial Solutions Limited,
DABUR,Dabur India Ltd.,NIFTY FMCG
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,NIFTY FMCG
ARVIND,Arvind Ltd.,
BHEL,Bharat Heavy Electricals Ltd.,
HINDPETRO,Hindustan Petroleum Corporation Ltd,NIFTY ENERGY
IFCI,IFCI Ltd.,NIFTY FINANCIAL SERVICES
MTNL,Mahanagar Telephone Nigam Ltd.,NIFTY TELECOM
MRPL,Mangalore Refinery & Petrochemicals,NIFTY ENERGY
CHENNPETRO,Chennai Petroleum Corporation Ltd.,NIFTY ENERGY
SBIN,State Bank Of India,NIFTY FINANCIAL SERVICES
SAIL,Steel Authority of India Ltd.,NIFTY METAL
TITAN,Titan Company Limited,NIFTY CONSUMER DURABLES
IDBI,IDBI Bank Ltd,NIFTY FINANCIAL SERVICES
DCW,DCW Ltd.,NIFTY CHEMICALS
DHAMPURSUG,Dhampur Sugar Mills Ltd.,NIFTY FMCG
DIAMINESQ,Diamines & Chemicals Ltd.,NIFTY CHEMICALS
ELANTAS,Elantas Beck India Ltd,NIFTY CHEMICALS
DRREDDY,Dr. Reddy's Laboratories Ltd.,NIFTY PHARMA
EIDPARRY,E.I.D. Parry (India) Ltd.,NIFTY FMCG
PGHL,PROCTER & GAMBLE HEALTH LIMITED,NIFTY PHARMA
ELECTCAST,Electrosteel Castings Ltd.,
ESABINDIA,Esab India Ltd.,
EPL,EPL LIMITED,
ESTER,Ester Industries Ltd.,
FGP,FGP Ltd,NIFTY FINANCIAL SERVICES
PHCAP,P.H. Capital Ltd.,NIFTY FINANCIAL SERVICES
FINCABLES,Finolex Cables Ltd.,
COCKERILL,JOHN COCKERILL INDIA LIMITED,
UFLEX,Uflex Limited,
FOSECOIND,Foseco India Ltd,NIFTY CHEMICALS
GOLDENTOBC,Golden Tobacco Ltd.,NIFTY REALTY
GANESHBE,Ganesh Benzoplast Ltd.,NIFTY ENERGY
METROGLOBL,Metroglobal Limited,NIFTY SERVICES
GTL,GTL Ltd,NIFTY TELECOM
GODFRYPHLP,Godfrey Phillips India Ltd.,NIFTY FMCG
GODREJIND,Godrej Industries Ltd.,
KANSAINER,Kansai Nerolac Paints,NIFTY CONSUMER DURABLES
GOODRICKE,Goodricke Group Ltd.,NIFTY FMCG
GOODYEAR,Goodyear India Ltd.,NIFTY AUTO
GTNINDS,GTN Industries Limited,
GHCL,GHCL Ltd.,NIFTY CHEMICALS
GFLLIMITED,GFL LIMITED,NIFTY FINANCIAL SERVICES
GLFL,Gujarat Lease Financing Limited,NIFTY FINANCIAL SERVICES
HCL-INSYS,HCL Infosystems Ltd,NIFTY IT
